:Mots:Transcription Phonétique:Genre Grammatical:Paires Minimales
1:('aède', 'alde'):('aɛd', 'ald'):('Nom', 'Nom'):('ɛ', 'l')
2:('aède', 'hard'):('aɛd', 'aʁd'):('Nom', 'Nom'):('ɛ', 'ʁ')
3:('aède', 'led'):('aɛd', 'lɛd'):('Nom', 'Nom'):('a', 'l')
4:('aède', 'mède'):('aɛd', 'mɛd'):('Nom', 'Nom'):('a', 'm')
5:('aède', 'oued'):('aɛd', 'wɛd'):('Nom', 'Nom'):('a', 'w')
6:('aède', 'raide'):('aɛd', 'ʁɛd'):('Nom', 'Adverbe'):('a', 'ʁ')
7:('aède', 'raid'):('aɛd', 'ʁɛd'):('Nom', 'Nom'):('a', 'ʁ')
8:('aède', 'shed'):('aɛd', 'ʃɛd'):('Nom', 'Nom'):('a', 'ʃ')
9:('aïeul', 'ailleurs'):('ajœl', 'ajœʁ'):('Nom', 'Adverbe'):('l', 'ʁ')
10:('ïambe', 'yang'):('jɑ̃b', 'jɑ̃g'):('Nom', 'Nom'):('b', 'g')
11:('aîné', 'écher'):('ene', 'eʃe'):('Nom', 'Verbe infinitif'):('n', 'ʃ')
12:('aîné', 'été'):('ene', 'ete'):('Nom', 'Nom'):('n', 't')
13:('aîné', 'auner'):('ene', 'one'):('Nom', 'Verbe infinitif'):('e', 'o')
14:('aîné', 'héler'):('ene', 'ele'):('Nom', 'Verbe infinitif'):('n', 'l')
15:('aîné', 'héquet'):('ene', 'eke'):('Nom', 'Nom'):('n', 'k')
16:('aï', 'ache'):('ai', 'aʃ'):('Nom', 'Nom'):('i', 'ʃ')
17:('aï', 'age'):('ai', 'aʒ'):('Nom', 'Nom'):('i', 'ʒ')
18:('aï', 'ahan'):('ai', 'aɑ̃'):('Nom', 'Nom'):('i', 'ɑ̃')
19:('aï', 'are'):('ai', 'aʁ'):('Nom', 'Nom'):('i', 'ʁ')
20:('aï', 'ars'):('ai', 'aʁ'):('Nom', 'Nom'):('i', 'ʁ')
21:('aï', 'art'):('ai', 'aʁ'):('Nom', 'Nom'):('i', 'ʁ')
22:('aï', 'asse'):('ai', 'as'):('Nom', 'Nom'):('i', 's')
23:('aï', 'bi'):('ai', 'bi'):('Nom', 'Nom'):('a', 'b')
24:('aï', 'bis'):('ai', 'bi'):('Nom', 'Nom'):('a', 'b')
25:('aï', 'dit'):('ai', 'di'):('Nom', 'Nom'):('a', 'd')
26:('aï', 'gui'):('ai', 'gi'):('Nom', 'Nom'):('a', 'g')
27:('aï', 'hack'):('ai', 'ak'):('Nom', 'Nom'):('i', 'k')
28:('aï', 'haha'):('ai', 'aa'):('Nom', 'Nom'):('i', 'a')
29:('aï', 'huis'):('ai', 'ɥi'):('Nom', 'Nom'):('a', 'ɥ')
30:('aï', 'khi'):('ai', 'ki'):('Nom', 'Nom'):('a', 'k')
31:('aï', 'li'):('ai', 'li'):('Nom', 'Nom'):('a', 'l')
32:('aï', 'lit'):('ai', 'li'):('Nom', 'Nom'):('a', 'l')
33:('aï', 'mi'):('ai', 'mi'):('Nom', 'Nom'):('a', 'm')
34:('aï', 'nid'):('ai', 'ni'):('Nom', 'Nom'):('a', 'n')
35:('aï', 'oui'):('ai', 'wi'):('Nom', 'Nom'):('a', 'w')
36:('aï', 'oui'):('ai', 'wi'):('Nom', 'Adverbe'):('a', 'w')
37:('aï', 'phi'):('ai', 'fi'):('Nom', 'Nom'):('a', 'f')
38:('aï', 'pi'):('ai', 'pi'):('Nom', 'Nom'):('a', 'p')
39:('aï', 'pis'):('ai', 'pi'):('Nom', 'Nom'):('a', 'p')
40:('aï', 'pis'):('ai', 'pi'):('Nom', 'Adverbe'):('a', 'p')
41:('aï', 'ris'):('ai', 'ʁi'):('Nom', 'Nom'):('a', 'ʁ')
